epoch,loss,val_macro_auprc
1,1.0580946326953562,0.3899
2,0.7958658003870128,0.5148
3,0.5948856060237021,0.5582
4,0.48867611881381423,0.5691
5,0.42992087335214885,0.5835
6,0.3900037894878671,0.5989
7,0.34724334216602115,0.6171
8,0.3186978373906148,0.6248
9,0.2850961074249722,0.6273
10,0.25198174904517195,0.5689
11,0.23398300809588599,0.6282
12,0.21248504996806808,0.611
13,0.18927337502197564,0.6042
14,0.17794569145488853,0.574
15,0.15282870286047126,0.6067
16,0.14165912622816734,0.582
